ClassId,SignName,,
0,Speed limit (20km/h),,
1,Speed limit (30km/h),,X
2,Speed limit (50km/h),,
3,Speed limit (60km/h),,X
4,Speed limit (70km/h),,X
5,Speed limit (80km/h),,
6,End of speed limit (80km/h),,
7,Speed limit (100km/h),,
8,Speed limit (120km/h),,
9,No passing,,X
10,No passing for vehicles over 3.5 metric tons,,
11,Right-of-way at the next intersection,,
12,Priority road,,
13,Yield,,
14,Stop,,X
15,No vehicles,,
16,Vehicles over 3.5 metric tons prohibited,,
17,No entry,,X
18,General caution,,
19,Dangerous curve to the left,,
20,Dangerous curve to the right,,
21,Double curve,,X
22,Bumpy road,,
23,Slippery road,,
24,Road narrows on the right,,
25,Road work,,
26,Traffic signals,,X
27,Pedestrians,,X
28,Children crossing,,
29,Bicycles crossing,,
30,Beware of ice/snow,,
31,Wild animals crossing,,X
32,End of all speed and passing limits,,
33,Turn right ahead,,X
34,Turn left ahead,,X
35,Ahead only,,X
36,Go straight or right,,X
37,Go straight or left,,X
38,Keep right,,
39,Keep left,,
40,Roundabout mandatory,,X
41,End of no passing,,
42,End of no passing by vehicles over 3.5 metric tons,,
